,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0231,0.200052,0.8845,8.66025,-5,0,0,-1.0321,-0.777274,11.4907,9.64181,0,0,
0.0232,0.200918,0.884,8.66025,-5,0,0,-1.03095,-0.77631,11.4907,9.64181,0,0,
0.0233,0.201784,0.8835,8.66025,-5,0,0,-1.0298,-0.775346,11.4907,9.64181,0,0,
0.0234,0.20265,0.883,8.66025,-5,0,0,-1.02865,-0.774382,11.4907,9.64181,0,0,
0.0235,0.203516,0.8825,8.66025,-5,0,0,-1.0275,-0.773417,11.4907,9.64181,0,0,
0.0236,0.204382,0.882,8.66025,-5,0,0,-1.02635,-0.772453,11.4907,9.64181,0,0,
0.0237,0.205248,0.8815,8.66025,-5,0,0,-1.0252,-0.771489,11.4907,9.64181,0,0,
0.0238,0.206114,0.881,8.66025,-5,0,0,-1.02405,-0.770525,11.4907,9.64181,0,0,
0.0239,0.20698,0.8805,8.66025,-5,0,0,-1.0229,-0.769561,11.4907,9.64181,0,0,
0.024,0.207846,0.88,8.66025,-5,0,0,-1.02175,-0.768597,11.4907,9.64181,0,0,
