,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0268,0.45828,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0269,0.45999,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.027,0.4617,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0271,0.46341,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0272,0.46512,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0273,0.46683,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0274,0.46854,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0275,0.47025,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0276,0.47196,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0277,0.47367,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0278,0.47538,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0279,0.47709,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.028,0.4788,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0281,0.48051,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0282,0.48222,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0283,0.48393,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0284,0.48564,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0285,0.48735,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0286,0.48906,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0287,0.49077,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0288,0.49248,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0289,0.49419,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.029,0.4959,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0291,0.49761,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0292,0.49932,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0293,0.50103,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0294,0.50274,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0295,0.50445,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0296,0.50616,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0297,0.50787,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0298,0.50958,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0299,0.51129,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.03,0.513,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0301,0.51471,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0302,0.51642,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0303,0.51813,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0304,0.51984,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0305,0.52155,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0306,0.52326,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0307,0.52497,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0308,0.52668,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0309,0.52839,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.031,0.5301,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0311,0.53181,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0312,0.53352,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0313,0.53523,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0314,0.53694,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0315,0.53865,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0316,0.54036,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0317,0.54207,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0318,0.54378,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0319,0.54549,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.032,0.5472,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0321,0.54891,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0322,0.55062,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0323,0.55233,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0324,0.55404,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
